Tid,@BreadName,BreadMaterial1,BreadMaterial2,BreadMaterial3,BreadMaterial4,BreadMaterial5
int,@string,int,int,int,int,int
@아이디,@브레드명,@빵재료1,@빵재료2,@빵재료3,@빵재료4,@빵재료5
20001,@소금빵,200001,200002,200003,0,0
20002,@식빵,200001,200002,200004,200006,0
20003,@우유식빵,200001,200006,200004,0,0
20004,@크루아상,200001,200002,0,0,0
20005,@단팥빵,200001,200002,200007,0,0
20006,@소보로빵,200001,200002,200004,200005,0
20007,@마늘빵,200001,200002,200010,0,0
20008,@치즈빵,200001,200002,200008,0,0
20009,@초코빵,200001,200002,200009,0,0
20010,@크림빵,200001,200002,200011,0,0
20011,@건포도 베이글,200001,200005,200012,200013,0
