Tid,Name,Price,Tags,Desc,Atlas,Icon,IsTopping
int,string,long,string,string,string,string,bool
@아이디,@음료재료명,@골드가격,@속성(|구분),@설명,@아틀라스,@아이콘,@토핑요청가능
100001,물,10,깔끔함,음료의 맛을 맑고 깔끔하게 풀어 주는 물이에요.,,,FALSE
100002,우유,20,부드러움,포근하고 부드러운 질감을 더해 주는 우유예요.,,,FALSE
100003,원두,30,쓴맛|향긋함,고소하게 볶아 깊은 향을 더하는 커피 원두예요.,,,TRUE
100004,헤이즐넛시럽,40,달콤함|고소함,고소한 헤이즐넛 향을 더하는 시럽이에요.,,,TRUE
100005,바닐라시럽,40,달콤함|향긋함,은은한 바닐라 향을 더하는 시럽이에요.,,,TRUE
100006,카라멜시럽,40,달콤함|진한 맛,진하고 달콤한 카라멜 시럽이에요.,,,TRUE
100007,초콜릿시럽,40,달콤함|진한 맛,진한 풍미와 달콤함을 더하는 초콜릿 시럽이에요.,,,TRUE
100008,얼음,5,시원함,음료를 시원하게 만들어 주는 얼음이에요.,,,FALSE
100009,홍차잎,30,향긋함|떫은맛,향긋하고 깊은 맛을 내는 홍차잎이에요.,,,FALSE
100010,녹차가루,35,쌉쌀함|향긋함,쌉쌀하고 향긋한 녹차가루예요.,,,FALSE
100011,레몬,25,상큼함,상큼한 향으로 음료를 산뜻하게 만드는 레몬이에요.,,,FALSE
100012,자몽,30,상큼함|쌉쌀함,쌉쌀하면서 상큼한 자몽이에요.,,,FALSE
100013,오렌지,25,상큼함|달콤함,달콤하고 상큼한 오렌지예요.,,,FALSE
100014,청포도,30,상큼함|달콤함,싱그럽고 달콤한 청포도예요.,,,FALSE
100015,딸기,30,달콤함|상큼함,잘 익어 달콤하고 산뜻한 향이 나는 딸기예요.,,,FALSE
100016,바나나,20,달콤함|부드러움,부드럽고 달콤한 바나나예요.,,,FALSE
100017,블루베리,35,상큼함|달콤함,새콤달콤한 블루베리예요.,,,FALSE
100018,망고,35,달콤함|진한 맛,진하고 달콤한 망고예요.,,,FALSE
100019,플레인요거트,30,상큼함|부드러움,새콤하고 부드러운 플레인 요거트예요.,,,FALSE
100020,탄산수,15,청량함,톡 쏘는 청량감을 더하는 탄산수예요.,,,FALSE
100021,흑당시럽,40,달콤함|진한 맛,깊고 진한 단맛의 흑당 시럽이에요.,,,TRUE
100022,생크림,35,부드러움|고소함,폭신하게 올리는 휘핑 생크림이에요.,,,TRUE
100023,펄,25,쫀득함,쫀득쫀득한 타피오카 펄이에요.,,,TRUE
100024,타로,35,고소함|달콤함,고소하고 달콤한 타로예요.,,,FALSE
